"Event_ID","ticker","name","fiscal_year","event_year","event_date","confound_dum","confound_type","breach_size","breach_type","event_state","hq_state"
152,"KRFT","Kraft Foods",2007,2007,"05/09/2007",0,"none",1446,"PORT","Illinois","Illinois"
153,"HIG","Hartford Life Insurance Company",2007,2007,"12/09/2007",0,"none",526,"HACK","Connecticut","Connecticut"
156,"ORCL","Oracle Corporation",2006,2007,"11/11/2007",0,"none",132,"STAT","Georgia","California"
157,"CFR","Frost Bank",2007,2007,"07/11/2007",0,"none",500,"UNKN","Texas","Texas"
158,"JPM","Chase Bank",2011,2011,"20/01/2011",0,"none",100,"CARD","California","New York"
159,"PHIA","Philips Electronics",2008,2008,"25/01/2008",0,"none",91,"PORT","New Jersey","Massachusetts"
160,"C","Citibank",2008,2008,"25/01/2008",0,"none",1279,"CARD","Texas","New York"
167,"AAL","American Airlines",2011,2011,"17/02/2011",0,"none",350,"INSD","California","Texas"
168,"RDS","Shell",2011,2011,"09/03/2011",0,"none",3600,"CARD","California","Texas"
169,"TD","TD Bank",2011,2011,"10/03/2011",0,"none",10,"INSD","New Jersey","New Jersey"
172,"BP","BP Global",2011,2011,"29/03/2011",0,"none",13000,"PORT","Louisiana","Texas"
175,"PNC","PNC Automated Teller Machines",2011,2011,"13/04/2011",0,"none",211,"CARD","Pennsylvania","Pennsylvania"
176,"SNE","Sony",2011,2011,"26/04/2011",0,"none",101600000,"HACK","New York","New York"
177,"MDAS","Medassets Inc.",2011,2011,"19/09/2011",0,"none",82265,"PORT","Georgia","Georgia"
178,"EDS","Electronic Data Systems",2011,2011,"24/09/2011",0,"none",250,"INSD","Alabama","Texas"
180,"MCD","McDonald's",2011,2011,"09/08/2011",0,"none",185,"INSD","Virginia","Illinois"
181,"JPM","Chase Bank",2011,2011,"30/07/2011",0,"none",950,"CARD","California","New York"
182,"LNC","Lincoln National Life Insurance Company",2011,2011,"26/07/2011",0,"none",705,"DISC","New York","Pennsylvania"
184,"TOSYY","Toshiba",2011,2011,"12/07/2011",0,"none",7971,"HACK","California","California"
185,"MS","Morgan Stanley",2011,2011,"05/07/2011",0,"none",34000,"PORT","New York","New York"
187,"SGAMY","Sega",2011,2011,"18/06/2011",0,"none",1290000,"HACK","UK","California"
188,"SNE","Sony Pictures",2011,2011,"06/06/2011",0,"none",1000000,"HACK","New York","New York"
189,"C","Citibank",2011,2011,"09/06/2011",0,"none",360000,"HACK","New York","New York"
190,"BAC","Bank of America",2011,2011,"25/05/2011",0,"none",300,"INSD","New York","North Carolina"
193,"ANTM","Anthem Blue Cross",2011,2011,"13/05/2011",0,"none",31125,"DISC","California","California"
194,"RF","Regions Bank",2011,2011,"17/05/2011",0,"none",149,"INSD","Tennessee","Alabama"
197,"MCD","McDonald's",2011,2011,"18/11/2011",0,"none",16,"INSD","Washington","Illinois"
198,"MCD","McDonald's",2011,2011,"16/11/2011",0,"none",100,"INSD","Michigan","Illinois"
202,"RAD","RIte Aid Corporation",2011,2012,"12/01/2012",0,"none",2900,"PHYS","Pennsylvania","Pennsylvania"
203,"AXP","American Express Travel Related Services Company, Inc. (AXP)",2012,2012,"13/07/2012",0,"none",27257,"CARD","California","New York"
204,"SPLS","Staples (Staples Business Depot)",2011,2012,"02/02/2012",0,"none",50,"INSD","New York","Massachusetts"
206,"AAN","Aaron's",2011,2011,"02/11/2011",0,"none",1008,"STAT","California","Georgia"
207,"BGK","Burger King",2012,2012,"25/02/2012",0,"none",30,"INSD","Oregon","Florida"
213,"KEY","Key Bank",2012,2012,"09/05/2012",0,"none",2937,"INSD","Oregon","Ohio"
215,"CMCSA","Comcast",2012,2012,"20/05/2012",0,"none",294,"HACK","Pennsylvania","Pennsylvania"
216,"LNKD","LinkedIn.com",2012,2012,"29/05/2012",0,"none",167000000,"HACK","California","California"
217,"HD","The Home Depot",2011,2012,"13/04/2012",0,"none",36,"INSD","Georgia","Georgia"
219,"GRPN","Groupon",2012,2012,"02/07/2012",0,"none",170,"DISC","Illinois","Illinois"
220,"YHOO","Yahoo! Voices",2012,2012,"12/07/2012",0,"none",453492,"HACK","California","California"
221,"NVD","Nvidia",2011,2012,"13/07/2012",0,"none",400000,"HACK","California","California"
223,"YAMCY","Yamaha Commercial Audio Systems",2012,2012,"20/02/2012",0,"none",1755,"HACK","Ohio","California"
225,"AAPL","Apple",2012,2012,"04/09/2012",0,"none",1000000,"HACK","California","California"
226,"TD","TD Bank",2012,2012,"08/10/2012",0,"none",260000,"PORT","New Jersey","New Jersey"
227,"TM5","T-Mobile",2012,2012,"16/01/2012",0,"none",44,"HACK","Washington","Washington"
229,"ADBE","Adobe",2012,2012,"14/11/2012",0,"none",230,"HACK","California","California"
231,"PF","Pinnacle Foods Group, LLC",2012,2012,"26/11/2012",0,"none",1818,"PORT","Wisconsin","New Jersey"
236,"JPM","J.P. Morgan Chase",2013,2013,"12/02/2013",0,"none",6000,"CARD","New York","New York"
237,"HIS","Information Handling Services, Inc. (IHS)",2013,2013,"27/02/2013",0,"none",8500,"HACK","Colorado","Colorado"
